Orders.Ship Date.Variation.Date Hierarchy.Month,Orders.Ship Date.Variation.Date Hierarchy.Quarter,Orders.Region,Orders.City,Sum(Orders.Quantity),Sum(Orders.Profit)
September,Qtr 3,Central,Elkhart,,
October,Qtr 4,Central,Elkhart,,
November,Qtr 4,Central,Elkhart,,
December,Qtr 4,Central,Elkhart,,
January,Qtr 1,Central,Elmhurst,,
February,Qtr 1,Central,Elmhurst,,
March,Qtr 1,Central,Elmhurst,9,-166.43880000000001
April,Qtr 2,Central,Elmhurst,5,-45.6933
May,Qtr 2,Central,Elmhurst,,
June,Qtr 2,Central,Elmhurst,,
July,Qtr 3,Central,Elmhurst,,
August,Qtr 3,Central,Elmhurst,,
September,Qtr 3,Central,Elmhurst,,
October,Qtr 4,Central,Elmhurst,,
November,Qtr 4,Central,Elmhurst,,
December,Qtr 4,Central,Elmhurst,,
January,Qtr 1,Central,Evanston,,
February,Qtr 1,Central,Evanston,,
March,Qtr 1,Central,Evanston,1,0.8993999999999991
April,Qtr 2,Central,Evanston,7,481.0886999999999
May,Qtr 2,Central,Evanston,,
June,Qtr 2,Central,Evanston,,
July,Qtr 3,Central,Evanston,,
August,Qtr 3,Central,Evanston,,
September,Qtr 3,Central,Evanston,,
October,Qtr 4,Central,Evanston,3,-70.10430000000002
November,Qtr 4,Central,Evanston,,
December,Qtr 4,Central,Evanston,,
January,Qtr 1,Central,Fargo,6,13.559
February,Qtr 1,Central,Fargo,,
March,Qtr 1,Central,Fargo,,
April,Qtr 2,Central,Fargo,,
May,Qtr 2,Central,Fargo,24,216.59069999999997
June,Qtr 2,Central,Fargo,,
July,Qtr 3,Central,Fargo,,
August,Qtr 3,Central,Fargo,,
September,Qtr 3,Central,Fargo,,
October,Qtr 4,Central,Fargo,,
November,Qtr 4,Central,Fargo,,
December,Qtr 4,Central,Fargo,,
January,Qtr 1,Central,Fort Worth,,
February,Qtr 1,Central,Fort Worth,,
March,Qtr 1,Central,Fort Worth,3,1.5804
April,Qtr 2,Central,Fort Worth,1,-1.4413
May,Qtr 2,Central,Fort Worth,48,-384.34340000000003
June,Qtr 2,Central,Fort Worth,,
July,Qtr 3,Central,Fort Worth,,
August,Qtr 3,Central,Fort Worth,,
September,Qtr 3,Central,Fort Worth,,
October,Qtr 4,Central,Fort Worth,9,616.4554999999999
November,Qtr 4,Central,Fort Worth,20,-210.26720000000003
December,Qtr 4,Central,Fort Worth,21,276.7487000000001
January,Qtr 1,Central,Frankfort,,
February,Qtr 1,Central,Frankfort,,
March,Qtr 1,Central,Frankfort,,
April,Qtr 2,Central,Frankfort,,
May,Qtr 2,Central,Frankfort,8,-52.95840000000001
June,Qtr 2,Central,Frankfort,2,26.902399999999993
July,Qtr 3,Central,Frankfort,,
August,Qtr 3,Central,Frankfort,,
September,Qtr 3,Central,Frankfort,,
October,Qtr 4,Central,Frankfort,,
November,Qtr 4,Central,Frankfort,,
December,Qtr 4,Central,Frankfort,,
January,Qtr 1,Central,Franklin,15,458.7003000000001
February,Qtr 1,Central,Franklin,,
March,Qtr 1,Central,Franklin,,
April,Qtr 2,Central,Franklin,,
May,Qtr 2,Central,Franklin,,
June,Qtr 2,Central,Franklin,,
July,Qtr 3,Central,Franklin,,
August,Qtr 3,Central,Franklin,3,14.870699999999998
September,Qtr 3,Central,Franklin,,
October,Qtr 4,Central,Franklin,,
November,Qtr 4,Central,Franklin,3,43.223399999999984
December,Qtr 4,Central,Franklin,27,775.9807999999999
January,Qtr 1,Central,Freeport,,
February,Qtr 1,Central,Freeport,,
March,Qtr 1,Central,Freeport,,
April,Qtr 2,Central,Freeport,,
May,Qtr 2,Central,Freeport,2,3.959199999999999
June,Qtr 2,Central,Freeport,,
July,Qtr 3,Central,Freeport,,
August,Qtr 3,Central,Freeport,,
September,Qtr 3,Central,Freeport,,
October,Qtr 4,Central,Freeport,10,-131.40900000000002
November,Qtr 4,Central,Freeport,,
December,Qtr 4,Central,Freeport,,
January,Qtr 1,Central,Fremont,,
February,Qtr 1,Central,Fremont,,
March,Qtr 1,Central,Fremont,,
April,Qtr 2,Central,Fremont,,
May,Qtr 2,Central,Fremont,,
June,Qtr 2,Central,Fremont,5,25.871999999999996
July,Qtr 3,Central,Fremont,4,22.388800000000003
August,Qtr 3,Central,Fremont,,
September,Qtr 3,Central,Fremont,,
October,Qtr 4,Central,Fremont,1,50.327999999999996
November,Qtr 4,Central,Fremont,,
December,Qtr 4,Central,Fremont,23,80.8808
January,Qtr 1,Central,Frisco,,
February,Qtr 1,Central,Frisco,,
March,Qtr 1,Central,Frisco,,
April,Qtr 2,Central,Frisco,,
May,Qtr 2,Central,Frisco,,
June,Qtr 2,Central,Frisco,6,-17.443199999999997
July,Qtr 3,Central,Frisco,,
August,Qtr 3,Central,Frisco,,
September,Qtr 3,Central,Frisco,,
October,Qtr 4,Central,Frisco,,
November,Qtr 4,Central,Frisco,4,-1.3583999999999987
December,Qtr 4,Central,Frisco,,
January,Qtr 1,Central,Garden City,,
February,Qtr 1,Central,Garden City,5,7.822099999999999
March,Qtr 1,Central,Garden City,,
April,Qtr 2,Central,Garden City,,
May,Qtr 2,Central,Garden City,,
June,Qtr 2,Central,Garden City,,
July,Qtr 3,Central,Garden City,,
August,Qtr 3,Central,Garden City,,
September,Qtr 3,Central,Garden City,,
October,Qtr 4,Central,Garden City,,
November,Qtr 4,Central,Garden City,3,82.8038
December,Qtr 4,Central,Garden City,,
January,Qtr 1,Central,Garland,,
February,Qtr 1,Central,Garland,,
March,Qtr 1,Central,Garland,,
April,Qtr 2,Central,Garland,,
May,Qtr 2,Central,Garland,,
June,Qtr 2,Central,Garland,,
July,Qtr 3,Central,Garland,,
August,Qtr 3,Central,Garland,,
September,Qtr 3,Central,Garland,3,-3.6780000000000044
October,Qtr 4,Central,Garland,,
November,Qtr 4,Central,Garland,9,-28.695000000000007
December,Qtr 4,Central,Garland,,
January,Qtr 1,Central,Gladstone,,
February,Qtr 1,Central,Gladstone,,
March,Qtr 1,Central,Gladstone,,
April,Qtr 2,Central,Gladstone,,
May,Qtr 2,Central,Gladstone,,
June,Qtr 2,Central,Gladstone,,
July,Qtr 3,Central,Gladstone,,
August,Qtr 3,Central,Gladstone,,
September,Qtr 3,Central,Gladstone,,
October,Qtr 4,Central,Gladstone,,
November,Qtr 4,Central,Gladstone,5,52.58879999999999
December,Qtr 4,Central,Gladstone,,
January,Qtr 1,Central,Glenview,,
February,Qtr 1,Central,Glenview,,
March,Qtr 1,Central,Glenview,,
April,Qtr 2,Central,Glenview,,
May,Qtr 2,Central,Glenview,,
June,Qtr 2,Central,Glenview,,
July,Qtr 3,Central,Glenview,,
August,Qtr 3,Central,Glenview,,
September,Qtr 3,Central,Glenview,,
October,Qtr 4,Central,Glenview,,
November,Qtr 4,Central,Glenview,,
December,Qtr 4,Central,Glenview,3,13.857900000000008
January,Qtr 1,Central,Grand Island,,
February,Qtr 1,Central,Grand Island,,
March,Qtr 1,Central,Grand Island,,
April,Qtr 2,Central,Grand Island,,
May,Qtr 2,Central,Grand Island,,
June,Qtr 2,Central,Grand Island,,
July,Qtr 3,Central,Grand Island,,
August,Qtr 3,Central,Grand Island,,
September,Qtr 3,Central,Grand Island,2,7.98
October,Qtr 4,Central,Grand Island,,
November,Qtr 4,Central,Grand Island,,
December,Qtr 4,Central,Grand Island,,
January,Qtr 1,Central,Grand Prairie,9,-17.288600000000006
February,Qtr 1,Central,Grand Prairie,,
March,Qtr 1,Central,Grand Prairie,,
April,Qtr 2,Central,Grand Prairie,,
May,Qtr 2,Central,Grand Prairie,,
June,Qtr 2,Central,Grand Prairie,8,-6.166200000000021
July,Qtr 3,Central,Grand Prairie,6,9.977399999999996
August,Qtr 3,Central,Grand Prairie,,
September,Qtr 3,Central,Grand Prairie,,
October,Qtr 4,Central,Grand Prairie,5,-29.512000000000008
November,Qtr 4,Central,Grand Prairie,2,8.879999999999999
December,Qtr 4,Central,Grand Prairie,15,-51.12170000000005
January,Qtr 1,Central,Grand Rapids,2,100.65599999999999
February,Qtr 1,Central,Grand Rapids,,
March,Qtr 1,Central,Grand Rapids,,
April,Qtr 2,Central,Grand Rapids,,
May,Qtr 2,Central,Grand Rapids,,
June,Qtr 2,Central,Grand Rapids,,
July,Qtr 3,Central,Grand Rapids,,
August,Qtr 3,Central,Grand Rapids,3,9.5256
September,Qtr 3,Central,Grand Rapids,14,85.1606
October,Qtr 4,Central,Grand Rapids,,
November,Qtr 4,Central,Grand Rapids,,
December,Qtr 4,Central,Grand Rapids,12,38.5805
January,Qtr 1,Central,Grapevine,,
February,Qtr 1,Central,Grapevine,,
March,Qtr 1,Central,Grapevine,,
April,Qtr 2,Central,Grapevine,12,8.774899999999995
May,Qtr 2,Central,Grapevine,,
June,Qtr 2,Central,Grapevine,,
July,Qtr 3,Central,Grapevine,,
August,Qtr 3,Central,Grapevine,,
September,Qtr 3,Central,Grapevine,,
October,Qtr 4,Central,Grapevine,,
November,Qtr 4,Central,Grapevine,,
December,Qtr 4,Central,Grapevine,,
January,Qtr 1,Central,Green Bay,,
February,Qtr 1,Central,Green Bay,6,206.31600000000006
March,Qtr 1,Central,Green Bay,2,4.352399999999999
April,Qtr 2,Central,Green Bay,,
May,Qtr 2,Central,Green Bay,,
June,Qtr 2,Central,Green Bay,,
July,Qtr 3,Central,Green Bay,,
August,Qtr 3,Central,Green Bay,,
September,Qtr 3,Central,Green Bay,6,17.808
October,Qtr 4,Central,Green Bay,,
November,Qtr 4,Central,Green Bay,,
December,Qtr 4,Central,Green Bay,,
January,Qtr 1,Central,Greenwood,,
February,Qtr 1,Central,Greenwood,,
March,Qtr 1,Central,Greenwood,,
April,Qtr 2,Central,Greenwood,,
May,Qtr 2,Central,Greenwood,,
June,Qtr 2,Central,Greenwood,,
July,Qtr 3,Central,Greenwood,,
August,Qtr 3,Central,Greenwood,,
September,Qtr 3,Central,Greenwood,,
October,Qtr 4,Central,Greenwood,,
November,Qtr 4,Central,Greenwood,14,115.5072
December,Qtr 4,Central,Greenwood,5,356.225
January,Qtr 1,Central,Haltom City,,
February,Qtr 1,Central,Haltom City,,
March,Qtr 1,Central,Haltom City,,
April,Qtr 2,Central,Haltom City,,
May,Qtr 2,Central,Haltom City,11,49.8082
June,Qtr 2,Central,Haltom City,,
July,Qtr 3,Central,Haltom City,,
August,Qtr 3,Central,Haltom City,,
September,Qtr 3,Central,Haltom City,,
October,Qtr 4,Central,Haltom City,,
November,Qtr 4,Central,Haltom City,2,2.1475999999999997
December,Qtr 4,Central,Haltom City,,
January,Qtr 1,Central,Harlingen,,
February,Qtr 1,Central,Harlingen,,
March,Qtr 1,Central,Harlingen,13,4.056899999999995
April,Qtr 2,Central,Harlingen,,
May,Qtr 2,Central,Harlingen,,
June,Qtr 2,Central,Harlingen,8,14.070600000000002
July,Qtr 3,Central,Harlingen,,
August,Qtr 3,Central,Harlingen,,
September,Qtr 3,Central,Harlingen,,
October,Qtr 4,Central,Harlingen,,
November,Qtr 4,Central,Harlingen,,
December,Qtr 4,Central,Harlingen,,
January,Qtr 1,Central,Highland Park,,
February,Qtr 1,Central,Highland Park,,
March,Qtr 1,Central,Highland Park,,
April,Qtr 2,Central,Highland Park,,
May,Qtr 2,Central,Highland Park,,
June,Qtr 2,Central,Highland Park,,
July,Qtr 3,Central,Highland Park,26,-165.2366
August,Qtr 3,Central,Highland Park,,
September,Qtr 3,Central,Highland Park,,
October,Qtr 4,Central,Highland Park,,
November,Qtr 4,Central,Highland Park,2,-4.704000000000001
December,Qtr 4,Central,Highland Park,,
January,Qtr 1,Central,Holland,,
February,Qtr 1,Central,Holland,,
March,Qtr 1,Central,Holland,,
April,Qtr 2,Central,Holland,,
May,Qtr 2,Central,Holland,,
June,Qtr 2,Central,Holland,,
July,Qtr 3,Central,Holland,,
August,Qtr 3,Central,Holland,9,63.0588
September,Qtr 3,Central,Holland,2,3.5999999999999996
October,Qtr 4,Central,Holland,,
November,Qtr 4,Central,Holland,,
December,Qtr 4,Central,Holland,,
January,Qtr 1,Central,Houston,4,7.3671999999999995
February,Qtr 1,Central,Houston,44,-681.0816000000002
March,Qtr 1,Central,Houston,104,-168.9011000000002
April,Qtr 2,Central,Houston,153,-2279.688700000001
May,Qtr 2,Central,Houston,121,58.11759999999967
June,Qtr 2,Central,Houston,100,-130.1986000000001
July,Qtr 3,Central,Houston,90,65.05349999999984
August,Qtr 3,Central,Houston,79,-269.6281
September,Qtr 3,Central,Houston,250,-1326.7275000000013
October,Qtr 4,Central,Houston,71,-157.3102
November,Qtr 4,Central,Houston,311,-4230.251500000002
December,Qtr 4,Central,Houston,139,-1040.2995000000005
January,Qtr 1,Central,Huntsville,49,-462.91840000000013
February,Qtr 1,Central,Huntsville,,
March,Qtr 1,Central,Huntsville,2,-32.338800000000006
April,Qtr 2,Central,Huntsville,9,-140.57780000000005
May,Qtr 2,Central,Huntsville,8,-69.3119999999999
June,Qtr 2,Central,Huntsville,5,17.154
July,Qtr 3,Central,Huntsville,13,14.5152
August,Qtr 3,Central,Huntsville,,
September,Qtr 3,Central,Huntsville,,
October,Qtr 4,Central,Huntsville,26,-107.69679999999995
November,Qtr 4,Central,Huntsville,,
December,Qtr 4,Central,Huntsville,9,-62.2518
January,Qtr 1,Central,Independence,,
February,Qtr 1,Central,Independence,,
March,Qtr 1,Central,Independence,,
April,Qtr 2,Central,Independence,,
May,Qtr 2,Central,Independence,,
June,Qtr 2,Central,Independence,,
July,Qtr 3,Central,Independence,,
August,Qtr 3,Central,Independence,,
September,Qtr 3,Central,Independence,3,757.4112
October,Qtr 4,Central,Independence,,
November,Qtr 4,Central,Independence,,
December,Qtr 4,Central,Independence,3,218.25179999999997
January,Qtr 1,Central,Indianapolis,,
February,Qtr 1,Central,Indianapolis,,
March,Qtr 1,Central,Indianapolis,,
April,Qtr 2,Central,Indianapolis,,
May,Qtr 2,Central,Indianapolis,7,35.260400000000004
June,Qtr 2,Central,Indianapolis,23,1378.0654
July,Qtr 3,Central,Indianapolis,9,103.95460000000003
August,Qtr 3,Central,Indianapolis,17,156.541
September,Qtr 3,Central,Indianapolis,10,19.720399999999984
October,Qtr 4,Central,Indianapolis,10,63.17879999999997
November,Qtr 4,Central,Indianapolis,3,15.938399999999998
December,Qtr 4,Central,Indianapolis,16,968.9947999999999
January,Qtr 1,Central,Iowa City,,
February,Qtr 1,Central,Iowa City,,
March,Qtr 1,Central,Iowa City,,
April,Qtr 2,Central,Iowa City,,
May,Qtr 2,Central,Iowa City,,
June,Qtr 2,Central,Iowa City,,
July,Qtr 3,Central,Iowa City,,
August,Qtr 3,Central,Iowa City,,
September,Qtr 3,Central,Iowa City,,
October,Qtr 4,Central,Iowa City,1,4.4955
November,Qtr 4,Central,Iowa City,,
December,Qtr 4,Central,Iowa City,,
January,Qtr 1,Central,Irving,,
February,Qtr 1,Central,Irving,,
March,Qtr 1,Central,Irving,,
April,Qtr 2,Central,Irving,,
May,Qtr 2,Central,Irving,8,-5.191200000000003
June,Qtr 2,Central,Irving,,
July,Qtr 3,Central,Irving,5,79.69199999999998
August,Qtr 3,Central,Irving,3,-187.96040000000002
September,Qtr 3,Central,Irving,,
October,Qtr 4,Central,Irving,4,5.1792
November,Qtr 4,Central,Irving,3,7.767900000000001
December,Qtr 4,Central,Irving,,
January,Qtr 1,Central,Jackson,32,2964.4005999999995
February,Qtr 1,Central,Jackson,,
March,Qtr 1,Central,Jackson,8,52.086599999999976
April,Qtr 2,Central,Jackson,,
May,Qtr 2,Central,Jackson,4,21.059999999999995
June,Qtr 2,Central,Jackson,3,94.4925
July,Qtr 3,Central,Jackson,,
August,Qtr 3,Central,Jackson,,
September,Qtr 3,Central,Jackson,16,1243.1318
October,Qtr 4,Central,Jackson,,
November,Qtr 4,Central,Jackson,33,640.2254999999999
December,Qtr 4,Central,Jackson,36,509.80219999999997
January,Qtr 1,Central,Jefferson City,,
February,Qtr 1,Central,Jefferson City,,
March,Qtr 1,Central,Jefferson City,,
April,Qtr 2,Central,Jefferson City,2,8.661999999999992
May,Qtr 2,Central,Jefferson City,,
June,Qtr 2,Central,Jefferson City,,
July,Qtr 3,Central,Jefferson City,,
August,Qtr 3,Central,Jefferson City,,
September,Qtr 3,Central,Jefferson City,,
October,Qtr 4,Central,Jefferson City,,
November,Qtr 4,Central,Jefferson City,,
December,Qtr 4,Central,Jefferson City,,
January,Qtr 1,Central,Keller,2,2.0999999999999996
February,Qtr 1,Central,Keller,,
March,Qtr 1,Central,Keller,,
April,Qtr 2,Central,Keller,,
May,Qtr 2,Central,Keller,,
June,Qtr 2,Central,Keller,,
July,Qtr 3,Central,Keller,,
August,Qtr 3,Central,Keller,,
September,Qtr 3,Central,Keller,,
October,Qtr 4,Central,Keller,,
November,Qtr 4,Central,Keller,,
December,Qtr 4,Central,Keller,,
January,Qtr 1,Central,Kenosha,,
February,Qtr 1,Central,Kenosha,10,287.3705
March,Qtr 1,Central,Kenosha,22,596.7203
April,Qtr 2,Central,Kenosha,,
May,Qtr 2,Central,Kenosha,,
June,Qtr 2,Central,Kenosha,,
July,Qtr 3,Central,Kenosha,5,143.982
August,Qtr 3,Central,Kenosha,,
September,Qtr 3,Central,Kenosha,,
October,Qtr 4,Central,Kenosha,,
November,Qtr 4,Central,Kenosha,,
December,Qtr 4,Central,Kenosha,,
January,Qtr 1,Central,Kirkwood,,
February,Qtr 1,Central,Kirkwood,,
March,Qtr 1,Central,Kirkwood,,
April,Qtr 2,Central,Kirkwood,,
May,Qtr 2,Central,Kirkwood,,
June,Qtr 2,Central,Kirkwood,,
July,Qtr 3,Central,Kirkwood,,
August,Qtr 3,Central,Kirkwood,7,47.1344
September,Qtr 3,Central,Kirkwood,,
October,Qtr 4,Central,Kirkwood,,
November,Qtr 4,Central,Kirkwood,,
December,Qtr 4,Central,Kirkwood,,
January,Qtr 1,Central,La Crosse,,
February,Qtr 1,Central,La Crosse,,
March,Qtr 1,Central,La Crosse,3,28.410000000000004
April,Qtr 2,Central,La Crosse,,
May,Qtr 2,Central,La Crosse,,
June,Qtr 2,Central,La Crosse,,
July,Qtr 3,Central,La Crosse,,
August,Qtr 3,Central,La Crosse,,
September,Qtr 3,Central,La Crosse,19,243.6661
October,Qtr 4,Central,La Crosse,,
November,Qtr 4,Central,La Crosse,,
December,Qtr 4,Central,La Crosse,,
January,Qtr 1,Central,La Porte,,
February,Qtr 1,Central,La Porte,,
March,Qtr 1,Central,La Porte,,
April,Qtr 2,Central,La Porte,,
May,Qtr 2,Central,La Porte,,
June,Qtr 2,Central,La Porte,,
July,Qtr 3,Central,La Porte,5,31.58699999999996
August,Qtr 3,Central,La Porte,,
September,Qtr 3,Central,La Porte,,
October,Qtr 4,Central,La Porte,13,-2.7731999999999957
November,Qtr 4,Central,La Porte,21,163.17199999999997
December,Qtr 4,Central,La Porte,,
January,Qtr 1,Central,Lafayette,3,0
February,Qtr 1,Central,Lafayette,,
March,Qtr 1,Central,Lafayette,6,135.9842
April,Qtr 2,Central,Lafayette,5,21.164000000000005
May,Qtr 2,Central,Lafayette,5,6.205999999999998
June,Qtr 2,Central,Lafayette,,
July,Qtr 3,Central,Lafayette,5,31.58699999999996
August,Qtr 3,Central,Lafayette,,
September,Qtr 3,Central,Lafayette,,
October,Qtr 4,Central,Lafayette,18,8762.389099999999
November,Qtr 4,Central,Lafayette,,
December,Qtr 4,Central,Lafayette,1,18.766999999999996
January,Qtr 1,Central,Lakeville,,
February,Qtr 1,Central,Lakeville,,
March,Qtr 1,Central,Lakeville,31,108.1918
April,Qtr 2,Central,Lakeville,,
May,Qtr 2,Central,Lakeville,,
June,Qtr 2,Central,Lakeville,24,1154.6735
July,Qtr 3,Central,Lakeville,,
August,Qtr 3,Central,Lakeville,19,74.05680000000001
September,Qtr 3,Central,Lakeville,,
October,Qtr 4,Central,Lakeville,,
November,Qtr 4,Central,Lakeville,10,9.680000000000001
December,Qtr 4,Central,Lakeville,,
January,Qtr 1,Central,Lansing,,
February,Qtr 1,Central,Lansing,,
March,Qtr 1,Central,Lansing,,
April,Qtr 2,Central,Lansing,9,326.2745999999999
May,Qtr 2,Central,Lansing,,
June,Qtr 2,Central,Lansing,,
July,Qtr 3,Central,Lansing,,
August,Qtr 3,Central,Lansing,,
September,Qtr 3,Central,Lansing,11,54.438799999999986
October,Qtr 4,Central,Lansing,5,32.16
November,Qtr 4,Central,Lansing,,
December,Qtr 4,Central,Lansing,,
January,Qtr 1,Central,Laredo,18,74.1688
February,Qtr 1,Central,Laredo,,
March,Qtr 1,Central,Laredo,,
April,Qtr 2,Central,Laredo,,
May,Qtr 2,Central,Laredo,,
June,Qtr 2,Central,Laredo,,
July,Qtr 3,Central,Laredo,,
August,Qtr 3,Central,Laredo,,
September,Qtr 3,Central,Laredo,,
October,Qtr 4,Central,Laredo,18,-133.2227
November,Qtr 4,Central,Laredo,1,4.4399999999999995
December,Qtr 4,Central,Laredo,,
January,Qtr 1,Central,Lawrence,,
February,Qtr 1,Central,Lawrence,,
March,Qtr 1,Central,Lawrence,,
April,Qtr 2,Central,Lawrence,6,55.922399999999996
May,Qtr 2,Central,Lawrence,,
June,Qtr 2,Central,Lawrence,,
July,Qtr 3,Central,Lawrence,,
August,Qtr 3,Central,Lawrence,,
September,Qtr 3,Central,Lawrence,15,182.2158
October,Qtr 4,Central,Lawrence,,
November,Qtr 4,Central,Lawrence,31,294.6048
December,Qtr 4,Central,Lawrence,,
January,Qtr 1,Central,Lawton,,
February,Qtr 1,Central,Lawton,,
March,Qtr 1,Central,Lawton,,
April,Qtr 2,Central,Lawton,,
May,Qtr 2,Central,Lawton,,
June,Qtr 2,Central,Lawton,8,157.4166
July,Qtr 3,Central,Lawton,,
August,Qtr 3,Central,Lawton,,
September,Qtr 3,Central,Lawton,,
October,Qtr 4,Central,Lawton,5,78.09189999999998
November,Qtr 4,Central,Lawton,,
December,Qtr 4,Central,Lawton,,
January,Qtr 1,Central,League City,,
February,Qtr 1,Central,League City,,
March,Qtr 1,Central,League City,,
April,Qtr 2,Central,League City,,
May,Qtr 2,Central,League City,,
June,Qtr 2,Central,League City,,
July,Qtr 3,Central,League City,15,-4.560399999999948
August,Qtr 3,Central,League City,,
September,Qtr 3,Central,League City,,
October,Qtr 4,Central,League City,10,-26.789499999999997
November,Qtr 4,Central,League City,,
December,Qtr 4,Central,League City,,
January,Qtr 1,Central,Lincoln Park,,
February,Qtr 1,Central,Lincoln Park,,
March,Qtr 1,Central,Lincoln Park,,
April,Qtr 2,Central,Lincoln Park,,
May,Qtr 2,Central,Lincoln Park,,
June,Qtr 2,Central,Lincoln Park,,
July,Qtr 3,Central,Lincoln Park,,
August,Qtr 3,Central,Lincoln Park,,
September,Qtr 3,Central,Lincoln Park,5,38.62830000000001
October,Qtr 4,Central,Lincoln Park,,
November,Qtr 4,Central,Lincoln Park,6,29.7408
December,Qtr 4,Central,Lincoln Park,,
January,Qtr 1,Central,Lubbock,,
February,Qtr 1,Central,Lubbock,5,-11.322
March,Qtr 1,Central,Lubbock,,
April,Qtr 2,Central,Lubbock,3,-17.046
May,Qtr 2,Central,Lubbock,,
June,Qtr 2,Central,Lubbock,,
