GL Balances.Period Date.Variation.Date Hierarchy.Month,GL Balances.Period Date.Variation.Date Hierarchy.Quarter,GL Balances.Period Date.Variation.Date Hierarchy.Year,Sum(GL Balances.Report Amount)
September,Qtr 3,2021,64
October,Qtr 4,2021,1713.2
November,Qtr 4,2021,2759.36
December,Qtr 4,2021,7515.92
January,Qtr 1,2022,1649.17373
February,Qtr 1,2022,5177.06
March,Qtr 1,2022,1159.82
April,Qtr 2,2022,9043.38
May,Qtr 2,2022,4036.35
June,Qtr 2,2022,5333.93
July,Qtr 3,2022,6880.16
August,Qtr 3,2022,4265.48
September,Qtr 3,2022,4349.01
October,Qtr 4,2022,8960.81
November,Qtr 4,2022,340.1
December,Qtr 4,2022,9173.29
January,Qtr 1,2023,5329.66
February,Qtr 1,2023,25179.62
March,Qtr 1,2023,80362.3
April,Qtr 2,2023,1325.73
May,Qtr 2,2023,45894.71
June,Qtr 2,2023,80517.97
July,Qtr 3,2023,42811.4
August,Qtr 3,2023,97962.69
September,Qtr 3,2023,54794.09
October,Qtr 4,2023,79280.22
November,Qtr 4,2023,7683.35
December,Qtr 4,2023,23921.61
January,Qtr 1,2024,27539.95805
February,Qtr 1,2024,79635.3
March,Qtr 1,2024,25207.72
April,Qtr 2,2024,72020.76
May,Qtr 2,2024,9333.47
June,Qtr 2,2024,42693.04
July,Qtr 3,2024,96640.62
August,Qtr 3,2024,64264.55
September,Qtr 3,2024,7202.2
October,Qtr 4,2024,19132.32
November,Qtr 4,2024,5554.37
December,Qtr 4,2024,74541.27
January,Qtr 1,2020,1
February,Qtr 1,2020,6
March,Qtr 1,2020,6
April,Qtr 2,2020,2
May,Qtr 2,2020,5
June,Qtr 2,2020,1
July,Qtr 3,2020,4
August,Qtr 3,2020,3
September,Qtr 3,2020,3
October,Qtr 4,2020,0
November,Qtr 4,2020,7
December,Qtr 4,2020,9
January,Qtr 1,2021,9
February,Qtr 1,2021,9
March,Qtr 1,2021,9
April,Qtr 2,2021,1
May,Qtr 2,2021,6
June,Qtr 2,2021,8
July,Qtr 3,2021,3
August,Qtr 3,2021,3
September,Qtr 3,2021,7
October,Qtr 4,2021,9
November,Qtr 4,2021,4
December,Qtr 4,2021,8
January,Qtr 1,2022,7
February,Qtr 1,2022,9
March,Qtr 1,2022,7
April,Qtr 2,2022,4
May,Qtr 2,2022,5
June,Qtr 2,2022,4
July,Qtr 3,2022,1
August,Qtr 3,2022,1
September,Qtr 3,2022,9
October,Qtr 4,2022,6
November,Qtr 4,2022,4
December,Qtr 4,2022,6
January,Qtr 1,2023,6
February,Qtr 1,2023,71400.91
March,Qtr 1,2023,4187936.03
April,Qtr 2,2023,6
May,Qtr 2,2023,2
June,Qtr 2,2023,4
July,Qtr 3,2023,9
August,Qtr 3,2023,5
September,Qtr 3,2023,3
October,Qtr 4,2023,1
November,Qtr 4,2023,4
December,Qtr 4,2023,1
January,Qtr 1,2024,9
February,Qtr 1,2024,7
March,Qtr 1,2024,2
April,Qtr 2,2024,6
May,Qtr 2,2024,0
June,Qtr 2,2024,9
July,Qtr 3,2024,4
August,Qtr 3,2024,7
September,Qtr 3,2024,1
October,Qtr 4,2024,1
November,Qtr 4,2024,1
December,Qtr 4,2024,1
January,Qtr 1,2020,4
February,Qtr 1,2020,3
March,Qtr 1,2020,7
April,Qtr 2,2020,7
May,Qtr 2,2020,4
June,Qtr 2,2020,7
July,Qtr 3,2020,4
August,Qtr 3,2020,4
September,Qtr 3,2020,7
October,Qtr 4,2020,0
November,Qtr 4,2020,3
December,Qtr 4,2020,4
January,Qtr 1,2021,2
February,Qtr 1,2021,0
March,Qtr 1,2021,9
April,Qtr 2,2021,0
May,Qtr 2,2021,1
June,Qtr 2,2021,6
July,Qtr 3,2021,3
August,Qtr 3,2021,0
September,Qtr 3,2021,5
October,Qtr 4,2021,1
November,Qtr 4,2021,5
December,Qtr 4,2021,5
January,Qtr 1,2022,0
February,Qtr 1,2022,8
March,Qtr 1,2022,5
April,Qtr 2,2022,7
May,Qtr 2,2022,6
June,Qtr 2,2022,3
July,Qtr 3,2022,1
August,Qtr 3,2022,4
September,Qtr 3,2022,7
October,Qtr 4,2022,4
November,Qtr 4,2022,8
December,Qtr 4,2022,1
January,Qtr 1,2023,3
February,Qtr 1,2023,1
March,Qtr 1,2023,5
April,Qtr 2,2023,8
May,Qtr 2,2023,6
June,Qtr 2,2023,9
July,Qtr 3,2023,5
August,Qtr 3,2023,7
September,Qtr 3,2023,2
October,Qtr 4,2023,8
November,Qtr 4,2023,6
December,Qtr 4,2023,7
January,Qtr 1,2024,1
February,Qtr 1,2024,3
March,Qtr 1,2024,0
April,Qtr 2,2024,8
May,Qtr 2,2024,2
June,Qtr 2,2024,5
July,Qtr 3,2024,8
August,Qtr 3,2024,2
September,Qtr 3,2024,1
October,Qtr 4,2024,0
November,Qtr 4,2024,6
December,Qtr 4,2024,3
January,Qtr 1,2020,5
February,Qtr 1,2020,0
March,Qtr 1,2020,1
April,Qtr 2,2020,8
May,Qtr 2,2020,0
June,Qtr 2,2020,2
July,Qtr 3,2020,3
August,Qtr 3,2020,8
September,Qtr 3,2020,5
October,Qtr 4,2020,3
November,Qtr 4,2020,5
December,Qtr 4,2020,820250.9
January,Qtr 1,2021,614230
February,Qtr 1,2021,781533.2
March,Qtr 1,2021,675701.3
April,Qtr 2,2021,259334.7
May,Qtr 2,2021,248184.8
June,Qtr 2,2021,424968.1
July,Qtr 3,2021,557957.4
August,Qtr 3,2021,941108.7
September,Qtr 3,2021,73432.6
October,Qtr 4,2021,23076.3
November,Qtr 4,2021,698007.5
December,Qtr 4,2021,754006.6
January,Qtr 1,2022,168392
February,Qtr 1,2022,149913.9
March,Qtr 1,2022,343894
April,Qtr 2,2022,642056.8
May,Qtr 2,2022,101893
June,Qtr 2,2022,44426.1
July,Qtr 3,2022,733347.8
August,Qtr 3,2022,123246.5
September,Qtr 3,2022,851404.6
October,Qtr 4,2022,557211.6
November,Qtr 4,2022,396287.7
December,Qtr 4,2022,85235.1
January,Qtr 1,2023,246347
February,Qtr 1,2023,25470927.5
March,Qtr 1,2023,53265217.9
April,Qtr 2,2023,5797246.08
May,Qtr 2,2023,7764131.54
June,Qtr 2,2023,2156791.37
July,Qtr 3,2023,0
August,Qtr 3,2023,1
September,Qtr 3,2023,0
October,Qtr 4,2023,4
November,Qtr 4,2023,1
December,Qtr 4,2023,3
January,Qtr 1,2024,6
February,Qtr 1,2024,9
March,Qtr 1,2024,0
April,Qtr 2,2024,7
May,Qtr 2,2024,7
June,Qtr 2,2024,3
July,Qtr 3,2024,5
August,Qtr 3,2024,2
September,Qtr 3,2024,5
October,Qtr 4,2024,6
November,Qtr 4,2024,6
December,Qtr 4,2024,6
January,Qtr 1,2020,4
February,Qtr 1,2020,2
March,Qtr 1,2020,5
April,Qtr 2,2020,3
May,Qtr 2,2020,8
June,Qtr 2,2020,0
July,Qtr 3,2020,3
August,Qtr 3,2020,1
September,Qtr 3,2020,1
October,Qtr 4,2020,8
November,Qtr 4,2020,1
December,Qtr 4,2020,5
January,Qtr 1,2021,4
February,Qtr 1,2021,0
March,Qtr 1,2021,1
April,Qtr 2,2021,8
May,Qtr 2,2021,1
June,Qtr 2,2021,1
July,Qtr 3,2021,2
August,Qtr 3,2021,7
September,Qtr 3,2021,7
October,Qtr 4,2021,5
November,Qtr 4,2021,5
December,Qtr 4,2021,8
January,Qtr 1,2022,1
February,Qtr 1,2022,1
March,Qtr 1,2022,2
April,Qtr 2,2022,6
May,Qtr 2,2022,3
June,Qtr 2,2022,4
July,Qtr 3,2022,1
August,Qtr 3,2022,0
September,Qtr 3,2022,8
October,Qtr 4,2022,1
November,Qtr 4,2022,3
December,Qtr 4,2022,9
January,Qtr 1,2023,4
February,Qtr 1,2023,5
March,Qtr 1,2023,4
April,Qtr 2,2023,7
May,Qtr 2,2023,4260956
June,Qtr 2,2023,3470481
July,Qtr 3,2023,3539852
August,Qtr 3,2023,6036291
September,Qtr 3,2023,3746594
October,Qtr 4,2023,2
November,Qtr 4,2023,6
December,Qtr 4,2023,0
January,Qtr 1,2024,2
February,Qtr 1,2024,4
March,Qtr 1,2024,6
April,Qtr 2,2024,6
May,Qtr 2,2024,2
June,Qtr 2,2024,3
July,Qtr 3,2024,8
August,Qtr 3,2024,2
September,Qtr 3,2024,3
October,Qtr 4,2024,5
November,Qtr 4,2024,4
December,Qtr 4,2024,9
January,Qtr 1,2020,6
February,Qtr 1,2020,1
March,Qtr 1,2020,3
April,Qtr 2,2020,5
May,Qtr 2,2020,7
June,Qtr 2,2020,8
July,Qtr 3,2020,1
August,Qtr 3,2020,1
September,Qtr 3,2020,8
October,Qtr 4,2020,7
November,Qtr 4,2020,7
December,Qtr 4,2020,2
January,Qtr 1,2021,6
February,Qtr 1,2021,1
March,Qtr 1,2021,5
April,Qtr 2,2021,9
May,Qtr 2,2021,0
June,Qtr 2,2021,7
July,Qtr 3,2021,6
August,Qtr 3,2021,0
September,Qtr 3,2021,6
October,Qtr 4,2021,4
November,Qtr 4,2021,5
December,Qtr 4,2021,7
January,Qtr 1,2022,3
February,Qtr 1,2022,1
March,Qtr 1,2022,4
April,Qtr 2,2022,5
May,Qtr 2,2022,8
June,Qtr 2,2022,7
July,Qtr 3,2022,3
August,Qtr 3,2022,5
September,Qtr 3,2022,7
October,Qtr 4,2022,9
November,Qtr 4,2022,0
December,Qtr 4,2022,9
January,Qtr 1,2023,2
February,Qtr 1,2023,6
March,Qtr 1,2023,5
April,Qtr 2,2023,2
May,Qtr 2,2023,9
June,Qtr 2,2023,7
July,Qtr 3,2023,1
August,Qtr 3,2023,9
September,Qtr 3,2023,0
October,Qtr 4,2023,2
November,Qtr 4,2023,3
December,Qtr 4,2023,6
January,Qtr 1,2024,4
February,Qtr 1,2024,3
March,Qtr 1,2024,8
April,Qtr 2,2024,5
May,Qtr 2,2024,3
June,Qtr 2,2024,1
July,Qtr 3,2024,4
August,Qtr 3,2024,0
September,Qtr 3,2024,6
October,Qtr 4,2024,4
November,Qtr 4,2024,3
December,Qtr 4,2024,7
January,Qtr 1,2020,3
February,Qtr 1,2020,375253.3
March,Qtr 1,2020,743418.91
April,Qtr 2,2020,449858.96
May,Qtr 2,2020,124464.82
June,Qtr 2,2020,899025.01
July,Qtr 3,2020,331548.06
August,Qtr 3,2020,280977.03
September,Qtr 3,2020,361524.42
October,Qtr 4,2020,74764.83
November,Qtr 4,2020,757215.53
December,Qtr 4,2020,612346.11
January,Qtr 1,2021,539687.24
February,Qtr 1,2021,6043619.04
March,Qtr 1,2021,754354.75
April,Qtr 2,2021,75415473.6
May,Qtr 2,2021,28953783.5
June,Qtr 2,2021,82852993.54
July,Qtr 3,2021,61129835.42
August,Qtr 3,2021,33919594.47
September,Qtr 3,2021,43209198.7
October,Qtr 4,2021,71429936.42
November,Qtr 4,2021,95014598.3
December,Qtr 4,2021,29643725.03
January,Qtr 1,2022,62463190.52
February,Qtr 1,2022,50311291.74
March,Qtr 1,2022,327349.4
April,Qtr 2,2022,27858487.88
May,Qtr 2,2022,81360198.07
June,Qtr 2,2022,74202258.14
July,Qtr 3,2022,9452288.69
August,Qtr 3,2022,3957166.14
September,Qtr 3,2022,56804216.91
October,Qtr 4,2022,62251345.19
November,Qtr 4,2022,96911402.06
December,Qtr 4,2022,70257831.22
January,Qtr 1,2023,85843285.8
February,Qtr 1,2023,47091130.36
March,Qtr 1,2023,49780667.54
April,Qtr 2,2023,31137992.26
May,Qtr 2,2023,56021468.73
June,Qtr 2,2023,32080562.64
July,Qtr 3,2023,48784098.06
August,Qtr 3,2023,21296424.42
September,Qtr 3,2023,94857129.21
October,Qtr 4,2023,68854592.18
November,Qtr 4,2023,78334429.18
December,Qtr 4,2023,22710214.11
January,Qtr 1,2024,52565800.16
February,Qtr 1,2024,43334273.99
March,Qtr 1,2024,7147120.75
April,Qtr 2,2024,62943068.39
May,Qtr 2,2024,69747661.51
June,Qtr 2,2024,74856587.49
July,Qtr 3,2024,64034337.57
August,Qtr 3,2024,1255080.82
September,Qtr 3,2024,8192494.24
October,Qtr 4,2024,86028452.96
November,Qtr 4,2024,84933380.19
December,Qtr 4,2024,54234815.19
January,Qtr 1,2020,3
February,Qtr 1,2020,7
March,Qtr 1,2020,1
April,Qtr 2,2020,0
May,Qtr 2,2020,7
June,Qtr 2,2020,5
July,Qtr 3,2020,7
August,Qtr 3,2020,4
September,Qtr 3,2020,7
October,Qtr 4,2020,1
November,Qtr 4,2020,5
December,Qtr 4,2020,3
January,Qtr 1,2021,2
February,Qtr 1,2021,89346.63
March,Qtr 1,2021,483311.63
April,Qtr 2,2021,19762.32
May,Qtr 2,2021,467920.19
June,Qtr 2,2021,143703.16
July,Qtr 3,2021,424667.8
August,Qtr 3,2021,138858.28
September,Qtr 3,2021,184855.11
October,Qtr 4,2021,724077.97
November,Qtr 4,2021,115083.03
December,Qtr 4,2021,8.47
January,Qtr 1,2022,36327.91
February,Qtr 1,2022,5414.52
March,Qtr 1,2022,8847.17
April,Qtr 2,2022,8238.33
May,Qtr 2,2022,181.45
June,Qtr 2,2022,865.12
July,Qtr 3,2022,92414.97
August,Qtr 3,2022,798506.27
September,Qtr 3,2022,79502.88
October,Qtr 4,2022,21835.35
November,Qtr 4,2022,24213.97
December,Qtr 4,2022,372379.5
January,Qtr 1,2023,533221.071
February,Qtr 1,2023,716218.03
March,Qtr 1,2023,302694.88
April,Qtr 2,2023,401053.27
May,Qtr 2,2023,651157
June,Qtr 2,2023,155722.1
July,Qtr 3,2023,832904.5
August,Qtr 3,2023,352106.5
September,Qtr 3,2023,974373.33
October,Qtr 4,2023,885311.9
November,Qtr 4,2023,635201.56
December,Qtr 4,2023,944305.91
January,Qtr 1,2024,965002
February,Qtr 1,2024,538204.95
March,Qtr 1,2024,295963.02
April,Qtr 2,2024,592335.17
May,Qtr 2,2024,985754.09
June,Qtr 2,2024,507096.62
July,Qtr 3,2024,966762.1
August,Qtr 3,2024,162499.51
September,Qtr 3,2024,693643.1
October,Qtr 4,2024,225613.64
November,Qtr 4,2024,133413.25
December,Qtr 4,2024,879420.11
January,Qtr 1,2020,8
February,Qtr 1,2020,1
March,Qtr 1,2020,6
April,Qtr 2,2020,6
May,Qtr 2,2020,1
June,Qtr 2,2020,3
July,Qtr 3,2020,1
August,Qtr 3,2020,0
September,Qtr 3,2020,9
October,Qtr 4,2020,8
November,Qtr 4,2020,4
December,Qtr 4,2020,8
January,Qtr 1,2021,6
February,Qtr 1,2021,3
March,Qtr 1,2021,4
April,Qtr 2,2021,5
May,Qtr 2,2021,2
June,Qtr 2,2021,4
July,Qtr 3,2021,1
August,Qtr 3,2021,4
September,Qtr 3,2021,3
October,Qtr 4,2021,6
November,Qtr 4,2021,9
December,Qtr 4,2021,8
January,Qtr 1,2022,1
February,Qtr 1,2022,8
March,Qtr 1,2022,1
April,Qtr 2,2022,3
May,Qtr 2,2022,4
June,Qtr 2,2022,8
July,Qtr 3,2022,40246.49
August,Qtr 3,2022,7
September,Qtr 3,2022,2
October,Qtr 4,2022,7
November,Qtr 4,2022,0
December,Qtr 4,2022,2
January,Qtr 1,2023,0
February,Qtr 1,2023,9
March,Qtr 1,2023,6
April,Qtr 2,2023,2
May,Qtr 2,2023,7
June,Qtr 2,2023,7
July,Qtr 3,2023,1
August,Qtr 3,2023,2
September,Qtr 3,2023,9
October,Qtr 4,2023,6
November,Qtr 4,2023,7
December,Qtr 4,2023,0
January,Qtr 1,2024,5
February,Qtr 1,2024,7
March,Qtr 1,2024,2
April,Qtr 2,2024,8
May,Qtr 2,2024,9
June,Qtr 2,2024,2
July,Qtr 3,2024,6
August,Qtr 3,2024,9
September,Qtr 3,2024,8
October,Qtr 4,2024,0
November,Qtr 4,2024,3
December,Qtr 4,2024,1
January,Qtr 1,2020,9
February,Qtr 1,2020,8
March,Qtr 1,2020,8
April,Qtr 2,2020,2
May,Qtr 2,2020,8
June,Qtr 2,2020,7
July,Qtr 3,2020,5
August,Qtr 3,2020,2
September,Qtr 3,2020,5
October,Qtr 4,2020,4
November,Qtr 4,2020,0
December,Qtr 4,2020,653081
January,Qtr 1,2021,2090851.741
February,Qtr 1,2021,692617.81
March,Qtr 1,2021,765527.89
April,Qtr 2,2021,9170238.12
May,Qtr 2,2021,9204868.86
June,Qtr 2,2021,6593334.44
July,Qtr 3,2021,168722.67
August,Qtr 3,2021,525704.76
September,Qtr 3,2021,242357.55
October,Qtr 4,2021,316899.49
November,Qtr 4,2021,198731.82
December,Qtr 4,2021,634536.81
January,Qtr 1,2022,2151702.21
February,Qtr 1,2022,9687503.43
March,Qtr 1,2022,9620833.21
April,Qtr 2,2022,7607920.26
May,Qtr 2,2022,5793282.6
June,Qtr 2,2022,5812202.38
July,Qtr 3,2022,4742707.71
August,Qtr 3,2022,2529467.39
September,Qtr 3,2022,4656417.76
October,Qtr 4,2022,8558007.33
November,Qtr 4,2022,7216845.47
December,Qtr 4,2022,8297477
January,Qtr 1,2023,5367377.696
February,Qtr 1,2023,3780953.26
March,Qtr 1,2023,6808132.23
April,Qtr 2,2023,4657601.74
May,Qtr 2,2023,3633985.91
June,Qtr 2,2023,2563752.07
July,Qtr 3,2023,2376896.97
August,Qtr 3,2023,3667045.1
September,Qtr 3,2023,3196404.09
October,Qtr 4,2023,5822061.49
November,Qtr 4,2023,4200460.1
December,Qtr 4,2023,2407378.77
January,Qtr 1,2024,2925205.01
February,Qtr 1,2024,5321741.71
March,Qtr 1,2024,787545.77
April,Qtr 2,2024,822170.39
May,Qtr 2,2024,492761.61
June,Qtr 2,2024,20779.92
July,Qtr 3,2024,685794.44
August,Qtr 3,2024,884209.25
September,Qtr 3,2024,365508.79
October,Qtr 4,2024,143483.31
November,Qtr 4,2024,982558.46
December,Qtr 4,2024,321897.52
January,Qtr 1,2020,5
February,Qtr 1,2020,8
March,Qtr 1,2020,3
April,Qtr 2,2020,8
May,Qtr 2,2020,9
June,Qtr 2,2020,8
July,Qtr 3,2020,9
August,Qtr 3,2020,6
September,Qtr 3,2020,0
October,Qtr 4,2020,7
November,Qtr 4,2020,4
December,Qtr 4,2020,0
January,Qtr 1,2021,6
February,Qtr 1,2021,9
March,Qtr 1,2021,0
April,Qtr 2,2021,9
May,Qtr 2,2021,7
June,Qtr 2,2021,9
July,Qtr 3,2021,6
August,Qtr 3,2021,1
September,Qtr 3,2021,1178411.05
October,Qtr 4,2021,7239516.79
November,Qtr 4,2021,991682.5
December,Qtr 4,2021,9968348.68
January,Qtr 1,2022,3854449.2
February,Qtr 1,2022,1707671.01
March,Qtr 1,2022,7667575.95
April,Qtr 2,2022,4818883.84
May,Qtr 2,2022,70597.73
June,Qtr 2,2022,2373111.53
July,Qtr 3,2022,2337851.63
August,Qtr 3,2022,105837.05
September,Qtr 3,2022,7709451.78
October,Qtr 4,2022,4715587.73
November,Qtr 4,2022,2796580.49
December,Qtr 4,2022,6967456.13
January,Qtr 1,2023,9389248.64
February,Qtr 1,2023,8556373.08
March,Qtr 1,2023,8163579.72
April,Qtr 2,2023,7937398.1
May,Qtr 2,2023,339193.79
June,Qtr 2,2023,9607653.95
July,Qtr 3,2023,3343044.28
August,Qtr 3,2023,7909042.96
September,Qtr 3,2023,188184.87
October,Qtr 4,2023,722589.5
November,Qtr 4,2023,449287.75
December,Qtr 4,2023,42975.03
January,Qtr 1,2024,774327.61
February,Qtr 1,2024,105426.17
March,Qtr 1,2024,123870.18
April,Qtr 2,2024,320819.52
May,Qtr 2,2024,616304.42
June,Qtr 2,2024,904508.66
July,Qtr 3,2024,335832.28
August,Qtr 3,2024,214016.6
September,Qtr 3,2024,972881.28
October,Qtr 4,2024,87536.13
November,Qtr 4,2024,228507.79
December,Qtr 4,2024,105376.69
January,Qtr 1,2020,6
February,Qtr 1,2020,0
March,Qtr 1,2020,8
April,Qtr 2,2020,1
May,Qtr 2,2020,3
June,Qtr 2,2020,5
July,Qtr 3,2020,0
August,Qtr 3,2020,8
September,Qtr 3,2020,8
October,Qtr 4,2020,7
November,Qtr 4,2020,0
December,Qtr 4,2020,544.23
January,Qtr 1,2021,978.51
February,Qtr 1,2021,368.25
March,Qtr 1,2021,42.19
April,Qtr 2,2021,234.51
May,Qtr 2,2021,678.46
June,Qtr 2,2021,163.23
July,Qtr 3,2021,648.84
August,Qtr 3,2021,313.06
September,Qtr 3,2021,589.82
October,Qtr 4,2021,2172.71
November,Qtr 4,2021,6671.55
December,Qtr 4,2021,9530.8
January,Qtr 1,2022,7618
February,Qtr 1,2022,6480.05
March,Qtr 1,2022,3527.56
April,Qtr 2,2022,580672.63
May,Qtr 2,2022,7134307.38
June,Qtr 2,2022,2071981.36
July,Qtr 3,2022,454152.67
August,Qtr 3,2022,203558.56
September,Qtr 3,2022,294046.95
October,Qtr 4,2022,304950.34
November,Qtr 4,2022,964860.75
December,Qtr 4,2022,25653.3
January,Qtr 1,2023,723544.32
February,Qtr 1,2023,345136.4
March,Qtr 1,2023,4360719.39
April,Qtr 2,2023,58600.35
May,Qtr 2,2023,287292.49
June,Qtr 2,2023,750565.45
July,Qtr 3,2023,351661.94
August,Qtr 3,2023,970928.58
September,Qtr 3,2023,200536.59
October,Qtr 4,2023,387631.39
November,Qtr 4,2023,75826.76
December,Qtr 4,2023,336863.61
January,Qtr 1,2024,9455549.11
February,Qtr 1,2024,2475887.75
March,Qtr 1,2024,5092491.46
April,Qtr 2,2024,2850018.67
May,Qtr 2,2024,3443153.84
June,Qtr 2,2024,5045972.66
July,Qtr 3,2024,2935551.76
August,Qtr 3,2024,6302652.17
September,Qtr 3,2024,7034256.23
October,Qtr 4,2024,9413486.06
November,Qtr 4,2024,4614510.95
December,Qtr 4,2024,6647299.77
January,Qtr 1,2020,5
February,Qtr 1,2020,5
March,Qtr 1,2020,9
April,Qtr 2,2020,9
May,Qtr 2,2020,5440444.33
June,Qtr 2,2020,1812404.02
July,Qtr 3,2020,7324278.16
August,Qtr 3,2020,5156624.91
September,Qtr 3,2020,4219742.67
October,Qtr 4,2020,32639275.01
November,Qtr 4,2020,4255941.57
December,Qtr 4,2020,29227546.21
January,Qtr 1,2021,96277610.13
February,Qtr 1,2021,30963384.7
March,Qtr 1,2021,427877.98
April,Qtr 2,2021,65367.4
May,Qtr 2,2021,93734.97
June,Qtr 2,2021,68575.19
July,Qtr 3,2021,54715.57
August,Qtr 3,2021,29383.84
September,Qtr 3,2021,39138.2
October,Qtr 4,2021,58312.75
November,Qtr 4,2021,75998.61
December,Qtr 4,2021,36448.69
January,Qtr 1,2022,21059.35759
February,Qtr 1,2022,12105.31
March,Qtr 1,2022,22456.44
April,Qtr 2,2022,54448.64
May,Qtr 2,2022,32503.39
June,Qtr 2,2022,70476.73
July,Qtr 3,2022,35806.51
August,Qtr 3,2022,91471.72
September,Qtr 3,2022,30942.26
October,Qtr 4,2022,37725.39
November,Qtr 4,2022,705.54
December,Qtr 4,2022,57289.3
January,Qtr 1,2023,51048.82
February,Qtr 1,2023,27620.7
March,Qtr 1,2023,41747.49
April,Qtr 2,2023,18469.4
May,Qtr 2,2023,84339.58
June,Qtr 2,2023,92921.7
July,Qtr 3,2023,83152.24
August,Qtr 3,2023,78008.6
September,Qtr 3,2023,31958.04
October,Qtr 4,2023,1022.46
November,Qtr 4,2023,78870.72
December,Qtr 4,2023,9
January,Qtr 1,2024,2
February,Qtr 1,2024,9
March,Qtr 1,2024,4
April,Qtr 2,2024,7
May,Qtr 2,2024,2
June,Qtr 2,2024,5
July,Qtr 3,2024,6
August,Qtr 3,2024,0
September,Qtr 3,2024,4
October,Qtr 4,2024,2
November,Qtr 4,2024,5
December,Qtr 4,2024,1
January,Qtr 1,2020,2
February,Qtr 1,2020,4
March,Qtr 1,2020,5
April,Qtr 2,2020,3
May,Qtr 2,2020,6
June,Qtr 2,2020,2
July,Qtr 3,2020,2
August,Qtr 3,2020,2
September,Qtr 3,2020,8
October,Qtr 4,2020,6
November,Qtr 4,2020,4
December,Qtr 4,2020,89304415.13
January,Qtr 1,2021,13869161.37
February,Qtr 1,2021,880793986.3
March,Qtr 1,2021,92882269.53
April,Qtr 2,2021,35613245.83
May,Qtr 2,2021,34378063.24
June,Qtr 2,2021,56092958.54
July,Qtr 3,2021,56710378.7
August,Qtr 3,2021,89341207.71
September,Qtr 3,2021,39418178.8
October,Qtr 4,2021,47178602.44
November,Qtr 4,2021,3375260.8
December,Qtr 4,2021,41570565.77
January,Qtr 1,2022,354875114.3
February,Qtr 1,2022,82804478.89
March,Qtr 1,2022,47530602.12
April,Qtr 2,2022,14653313.9
May,Qtr 2,2022,61966677.05
June,Qtr 2,2022,589432228.1
July,Qtr 3,2022,262405560.1
August,Qtr 3,2022,251381816.6
September,Qtr 3,2022,425359408.3
October,Qtr 4,2022,51161795.8
November,Qtr 4,2022,370246409.3
December,Qtr 4,2022,892964838.5
January,Qtr 1,2023,765485770.9
February,Qtr 1,2023,356556694
March,Qtr 1,2023,81601948.09
April,Qtr 2,2023,78228594.85
May,Qtr 2,2023,17773585.53
June,Qtr 2,2023,37775846.01
July,Qtr 3,2023,605940.64
August,Qtr 3,2023,75848806.82
September,Qtr 3,2023,47351537.68
October,Qtr 4,2023,8921125.637
November,Qtr 4,2023,37613583.03
December,Qtr 4,2023,57922376.44
January,Qtr 1,2024,156140335.3
February,Qtr 1,2024,45417687.15
March,Qtr 1,2024,72375475.06
April,Qtr 2,2024,80693169.3
May,Qtr 2,2024,68227203.1
June,Qtr 2,2024,96411042.83
July,Qtr 3,2024,91524558.24
August,Qtr 3,2024,97991125
September,Qtr 3,2024,16220794.77
October,Qtr 4,2024,56566609.52
November,Qtr 4,2024,11784253.47
December,Qtr 4,2024,26351633.84
January,Qtr 1,2020,0
February,Qtr 1,2020,8921981.78
March,Qtr 1,2020,8152547.17
April,Qtr 2,2020,1306201.24
May,Qtr 2,2020,9317479.68
June,Qtr 2,2020,3224173.14
July,Qtr 3,2020,27111.75
August,Qtr 3,2020,3159569.29
September,Qtr 3,2020,7594477.24
October,Qtr 4,2020,7975482.1
November,Qtr 4,2020,1612296.94
December,Qtr 4,2020,7682365.23
January,Qtr 1,2021,27848.05
February,Qtr 1,2021,5112825.39
March,Qtr 1,2021,1326065.24
April,Qtr 2,2021,4780345.88
May,Qtr 2,2021,8863122.93
June,Qtr 2,2021,1604507.76
July,Qtr 3,2021,2956381.38
August,Qtr 3,2021,8518481.63
September,Qtr 3,2021,6050761.1
October,Qtr 4,2021,8352265.25
November,Qtr 4,2021,8171066.55
December,Qtr 4,2021,777749.39
January,Qtr 1,2022,1313320.41
February,Qtr 1,2022,450772.32
March,Qtr 1,2022,854839.49
April,Qtr 2,2022,5905413.41
May,Qtr 2,2022,1895687.44
June,Qtr 2,2022,4261415.68
July,Qtr 3,2022,886832.09
August,Qtr 3,2022,8400683.41
September,Qtr 3,2022,7902572.27
October,Qtr 4,2022,4885571.94
November,Qtr 4,2022,668180.59
December,Qtr 4,2022,14.23
January,Qtr 1,2023,86.07
February,Qtr 1,2023,51.44
March,Qtr 1,2023,51.98
April,Qtr 2,2023,7.71
May,Qtr 2,2023,75.19
June,Qtr 2,2023,57.68
July,Qtr 3,2023,21
August,Qtr 3,2023,49.76
September,Qtr 3,2023,63.67
October,Qtr 4,2023,23.84
November,Qtr 4,2023,71.6
December,Qtr 4,2023,39.9
January,Qtr 1,2024,17.99
February,Qtr 1,2024,27.27
March,Qtr 1,2024,16.18
April,Qtr 2,2024,24
May,Qtr 2,2024,54.19
June,Qtr 2,2024,59.59
July,Qtr 3,2024,76.68
August,Qtr 3,2024,73.2
September,Qtr 3,2024,1.24
October,Qtr 4,2024,45.25
November,Qtr 4,2024,32.77
December,Qtr 4,2024,43.16
January,Qtr 1,2020,1
February,Qtr 1,2020,7
